Db C Dp Sd Cw Co R Ga Ac Pc Rot Rep
Db 1.000 0.688 0.599 0.512 0.419 0.347 0.380 0.401 0.338 0.328 0.263 0.161
C 0.688 1.000 0.649 0.560 0.400 0.305 0.350 0.445 0.379 0.373 0.288 0.198
Dp 0.599 0.649 1.000 0.598 0.389 0.249 0.330 0.347 0.288 0.327 0.251 0.150
Sd 0.512 0.560 0.598 1.000 0.254 0.199 0.263 0.309 0.239 0.283 0.255 0.148
Cw 0.419 0.400 0.389 0.254 1.000 0.608 0.647 0.658 0.402 0.362 0.325 0.164
Co 0.347 0.305 0.249 0.199 0.608 1.000 0.573 0.548 0.431 0.404 0.367 0.239
R  0.380 0.350 0.330 0.263 0.647 0.573 1.000 0.735 0.438 0.389 0.410 0.306
Ga 0.401 0.445 0.347 0.309 0.658 0.548 0.735 1.000 0.480 0.383 0.381 0.283
Ac 0.338 0.379 0.288 0.239 0.402 0.431 0.438 0.480 1.000 0.463 0.402 0.275
Pc 0.328 0.373 0.327 0.283 0.362 0.404 0.389 0.383 0.463 1.000 0.382 0.215
Rot 0.263 0.288 0.251 0.255 0.325 0.367 0.410 0.381 0.402 0.382 1.000 0.401
Rep 0.161 0.198 0.150 0.148 0.164 0.239 0.306 0.283 0.275 0.215 0.401 1.000
