"","CountrySender","CountryReceiver","HaveTreatise","DistanceSenderReceiver","logGDPsender","logGDPreceiver","LatSender","LatReceiver","LongSender","LongReceiver","logProtectedSpeciesSender","logProtectedSpeciesReceiver","logTonsFishTakenSender","logTonsFishTakenReceiver","numMultilateralTretiseSender","numMultilateralTretiseReceiver"
"1","ETH","MDG",0,80,0.0075333900230139,-0.0444136141909492,8,-20,38,47,-0.901275588935617,4.46750060343474,-1.61157392895036,1.11102013065399,3,9
"2","ETH","SOM",0,70,0.0075333900230139,-0.0616641688047403,8,10,38,49,-0.901275588935617,0.456086537883226,-1.61157392895036,-0.58293198848296,3,2
"3","ETH","TZA",0,70,0.0075333900230139,-0.00302839802809496,8,-6,38,35,-0.901275588935617,8.47194407289444,-1.61157392895036,2.39957900989219,3,10
"4","ETH","BDI",0,70,0.0075333900230139,-0.109891543570456,8,-3.5,38,30,-0.901275588935617,-0.519827350091898,-1.61157392895036,-1.28400560044956,3,4
"5","ETH","RWA",0,70,0.0075333900230139,-0.0637133498496758,8,-2,38,30,-0.901275588935617,-1.64293297570956,-1.61157392895036,-1.7637206322539,3,4
"6","ETH","UGA",0,70,0.0075333900230139,-0.01467901524807,8,1,38,32,-0.901275588935617,3.1673167001971,-1.61157392895036,2.67154322691318,3,10
"7","ETH","KEN",0,60,0.0075333900230139,0.0113465500294279,8,1,38,38,-0.901275588935617,3.4811054289264,-1.61157392895036,1.21817033378771,3,13
"8","ETH","MWI",0,80,0.0075333900230139,-0.0688547493500948,8,-13.5,38,34,-0.901275588935617,5.40694264541133,-1.61157392895036,0.115975673965269,3,9
"9","ETH","ZMB",0,80,0.0075333900230139,-0.0176130026828574,8,-15,38,30,-0.901275588935617,-0.170797020709979,-1.61157392895036,0.227470233484292,3,4
"10","ETH","ZWE",0,80,0.0075333900230139,-0.0514807814140417,8,-20,38,30,-0.901275588935617,-2.91088216814068,-1.61157392895036,-1.34745430963181,3,4
"11","ETH","MUS",0,80,0.0075333900230139,-0.0393960421989696,8,-20.2833,38,57.55,-0.901275588935617,-1.1788313605718,-1.61157392895036,-1.5618670262444,3,13
"12","ETH","MOZ",0,80,0.0075333900230139,-0.0424035632629249,8,-18.25,38,35,-0.901275588935617,2.56816957521842,-1.61157392895036,-0.2316743691289,3,8
"13","ETH","COM",0,80,0.0075333900230139,-0.174215265007921,8,-12.1667,38,44.25,-0.901275588935617,-2.19344323292638,-1.61157392895036,-1.22015319646179,3,6
"14","ETH","SYC",0,80,0.0075333900230139,-0.145980752545324,8,-4.5833,38,55.6667,-0.901275588935617,-0.901275588935617,-1.61157392895036,0.804217927448582,3,9
"15","ETH","DJI",0,60,0.0075333900230139,-0.129414940252555,8,11.5,38,43,-0.901275588935617,-0.769949629502142,-1.61157392895036,-3.77843961349821,3,3
"16","ETH","ERI",0,60,0.0075333900230139,-0.107745620000179,8,15,38,39,-0.901275588935617,-0.400292288590274,-1.61157392895036,-2.25147082105883,3,1
"17","ETH","CMR",0,80,0.0075333900230139,-0.00399411514805381,8,6,38,12,-0.901275588935617,5.84515550599196,-1.61157392895036,1.1653431391993,3,6
"18","ETH","COD",0,70,0.0075333900230139,-0.0264669710001124,8,0,38,25,-0.901275588935617,4.35706702429044,-1.61157392895036,1.74284103907713,3,6
"19","ETH","TCD",0,80,0.0075333900230139,-0.0454201568023507,8,15,38,19,-0.901275588935617,-3.64293297570956,-1.61157392895036,0.310885912977492,3,4
"20","ETH","CAF",0,80,0.0075333900230139,-0.110966234700221,8,7,38,21,-0.901275588935617,-2.91088216814068,-1.61157392895036,-1.22421343648853,3,4
"21","ETH","COG",0,80,0.0075333900230139,-0.0304273722162094,8,-1,38,15,-0.901275588935617,2.06527095678981,-1.61157392895036,0.108190037630349,3,6
"22","ETH","GAB",0,80,0.0075333900230139,-0.0264669710001124,8,-1,38,11.75,-0.901275588935617,3.03821277215905,-1.61157392895036,-0.198076802641706,3,10
"23","ETH","GNQ",0,80,0.0075333900230139,-0.0225221927090957,8,2,38,10,-0.901275588935617,0.553219446997073,-1.61157392895036,-2.34808887422707,3,8
"24","ETH","STP",0,80,0.0075333900230139,-0.224725120056879,8,1,38,7,-0.901275588935617,-1.32630818535416,-1.61157392895036,-2.32886764315826,3,6
"25","ETH","AGO",0,80,0.0075333900230139,0.0496153354573274,8,-12.5,38,18.5,-0.901275588935617,1.43982955458866,-1.61157392895036,1.8634703385382,3,12
"26","ETH","EGY",0,80,0.0075333900230139,0.0873556634401744,8,27,38,30,-0.901275588935617,1.35706702429044,-1.61157392895036,2.4057826619016,3,9
"27","ETH","LBY",0,80,0.0075333900230139,0.045945606568365,8,25,38,17,-0.901275588935617,-0.0603572807537187,-1.61157392895036,-0.146366756461688,3,8
"28","ETH","SDN",0,70,0.0075333900230139,0.0413394261534674,8,15,38,30,-0.901275588935617,-0.519827350091898,-1.61157392895036,0.174962817045358,3,5
"29","ETH","MAR",0,90,0.0075333900230139,0.0532716466604377,8,32,38,-5,-0.901275588935617,2.06527095678981,-1.61157392895036,3.9959406220953,3,13
"30","ETH","TUN",0,80,0.0075333900230139,0.0245792572960024,8,34,38,9,-0.901275588935617,0.924831387120463,-1.61157392895036,0.833587631692612,3,12
"31","ETH","DZA",0,80,0.0075333900230139,0.0758256022246369,8,28,38,3,-0.901275588935617,1.10162967082847,-1.61157392895036,1.01365678595863,3,9
"32","ETH","ZAF",0,80,0.0075333900230139,0.1065702283848,8,-29,38,24,-0.901275588935617,4.35706702429044,-1.61157392895036,3.76681947169098,3,17
"33","ETH","BWA",0,80,0.0075333900230139,-0.0215384247989632,8,-22,38,24,-0.901275588935617,-3.22871941333646,-1.61157392895036,-4.05857202501238,3,4
"34","ETH","LSO",0,80,0.0075333900230139,-0.106674382618681,8,-29.5,38,28.5,-0.901275588935617,-3.64293297570956,-1.61157392895036,-4.44200969480773,3,7
"35","ETH","SWZ",0,80,0.0075333900230139,-0.0823474293945687,8,-26.5,38,31.5,-0.901275588935617,-2.64293297570956,-1.61157392895036,-4.29301688491887,3,6
"36","ETH","NAM",0,90,0.0075333900230139,-0.0334080003543469,8,14.0583,38,108.2772,-0.901275588935617,0.357067024290441,-1.61157392895036,3.11515574857798,3,11
"37","ETH","LBR",0,90,0.0075333900230139,-0.144867786375903,8,6.5,38,-9.5,-0.901275588935617,2.56816957521842,-1.61157392895036,-1.56576489050238,3,10
"38","ETH","GHA",0,80,0.0075333900230139,0.0113465500294279,8,8,38,-2,-0.901275588935617,1.8378077226983,-1.61157392895036,2.57914249990737,3,13
"39","ETH","GIN",0,90,0.0075333900230139,-0.070918733570946,8,11,38,-10,-0.901275588935617,3.29432095748421,-1.61157392895036,0.685523894626187,3,16
"40","ETH","TGO",0,80,0.0075333900230139,-0.0896888362529364,8,8,38,1.1667,-0.901275588935617,0.256046509856797,-1.61157392895036,-0.659516486551825,3,5
"41","ETH","MLI",0,80,0.0075333900230139,-0.0414000508856849,8,17,38,-4,-0.901275588935617,-2.91088216814068,-1.61157392895036,0.727392030112621,3,3
"42","ETH","BEN",0,80,0.0075333900230139,-0.0565595124930574,8,9.5,38,2.25,-0.901275588935617,0.553219446997073,-1.61157392895036,-0.345431655346912,3,8
"43","ETH","BFA",0,80,0.0075333900230139,-0.0434080836889303,8,13,38,-2,-0.901275588935617,-2.64293297570956,-1.61157392895036,-1.65073050984684,3,6
"44","ETH","CIV",0,80,0.0075333900230139,-0.00302839802809496,8,8,38,-5,-0.901275588935617,1.91450554859244,-1.61157392895036,0.0432450156738451,3,10
"45","ETH","SEN",0,90,0.0075333900230139,-0.027455601827052,8,14,38,-14,-0.901275588935617,1.76019126172329,-1.61157392895036,2.62801228295943,3,19
"46","ETH","NGA",0,80,0.0075333900230139,0.0829367433021386,8,10,38,8,-0.901275588935617,2.84038179783832,-1.61157392895036,3.02724601694383,3,14
"47","ETH","NER",0,80,0.0075333900230139,-0.0657667386615182,8,16,38,8,-0.901275588935617,-2.64293297570956,-1.61157392895036,-0.0591564776381448,3,4
"48","ETH","MRT",0,90,0.0075333900230139,-0.0833929077961217,8,20,38,-12,-0.901275588935617,0.834292599342103,-1.61157392895036,1.90699664274449,3,16
"49","ETH","SLE",0,90,0.0075333900230139,-0.113119088061322,8,8.5,38,-11.5,-0.901275588935617,2.06527095678981,-1.61157392895036,1.19775154625005,3,14
"50","ETH","GMB",0,90,0.0075333900230139,-0.1415363007849,8,13.4667,38,-16.5667,-0.901275588935617,-0.0603572807537187,-1.61157392895036,-0.519287153613604,3,11
"51","ETH","GNB",0,90,0.0075333900230139,-0.152684688267514,8,12,38,-15,-0.901275588935617,0.834292599342103,-1.61157392895036,-1.93934361750788,3,12
"52","ETH","CPV",0,90,0.0075333900230139,-0.119605597290929,8,16,38,-24,-0.901275588935617,-0.170797020709979,-1.61157392895036,-1.76953875141251,3,14
"53","ETH","KAZ",0,80,0.0075333900230139,0.0722509782216774,8,48,38,68,-0.901275588935617,-0.901275588935617,-1.61157392895036,-0.550683482132312,3,1
