ID MATH PHY ENG FRE
1 100 56 63 62
2 31 87 100 80
3 100 40 100 59
4 100 64 83 94
5 100 67 44 100
6 43 40 42 72
7 45 88 46 41
8 36 67 64 100
9 38 42 72 81
10 77 100 99 81
11 61 36 39 99
12 55 67 90 62
13 82 100 100 100
14 55 44 62 96
15 90 93 96 80
16 100 100 100 84
17 67 69 79 100
18 76 63 51 33
19 32 61 71 60
20 35 56 100 96
21 48 77 63 33
22 50 97 73 73
23 100 100 46 53
24 59 100 38 96
25 40 51 100 100
26 100 100 49 100
27 100 40 96 100
28 40 100 84 99
29 71 44 100 53
30 100 89 40 87
