Firm EBITASS ROTC group	
1 0.158 0.182 Most-Admired
2 0.210 0.206 Most-Admired  
3 0.207 0.188 Most-Admired   
4 0.280 0.236 Most-Admired   
5 0.197 0.193 Most-Admired
6 0.227 0.173 Most-Admired 
7 0.148 0.196 Most-Admired
8 0.254 0.212 Most-Admired
9 0.079 0.147 Most-Admired
10 0.149 0.128 Most-Admired
11 0.200 0.150 Most-Admired
12 0.187 0.191 Most-Admired
13 -0.012 -0.031 Least-Admired
14 0.036 0.053 Least-Admired
15 0.038 0.036 Least-Admired
16 -0.063 -0.074 Least-Admired
17 -0.054 -0.119 Least-Admired
18 0.000 -0.005 Least-Admired
19 0.005 0.039 Least-Admired
20 0.091 0.122 Least-Admired
21 -0.036 -0.072 Least-Admired
22 0.045 0.064 Least-Admired
23 -0.026 -0.024 Least-Admired
24 0.016 0.026 Least-Admired
