s	S_BD	S_CM	S_HR	S_PC	S_RM	S_SM
1	33	12	21	23	22	28
1	35	13	19	13	22	27
1	47	17	15	24	22	31
1	27	18	18	17	21	28
1	43	18	20	24	26	30
1	35	16	22	20	23	24
1	35	19	22	20	23	24
1	44	20	13	21	20	26
1	39	15	17	24	28	29
1	34	18	21	13	19	25
1	42	16	12	20	23	27
1	43	17	19	14	23	31
1	44	17	13	17	23	27
1	44	16	22	21	27	31
1	41	20	20	24	28	29
1	36	20	18	18	22	24
1	30	18	13	13	26	23
1	48	19	21	19	22	30
1	48	19	24	20	27	31
1	37	15	20	20	24	30
1	31	15	19	9	15	25
1	32	19	22	18	26	28
1	40	17	16	20	26	27
1	38	19	20	7	19	28
1	43	16	23	24	28	31
2	31	16	18	23	22	16
2	39	13	19	20	22	21
2	31	20	13	21	16	15
2	21	16	12	20	17	14
2	14	10	8	5	1	21
2	23	0	21	5	1	1
2	26	16	18	18	19	19
2	30	15	12	21	19	25
2	23	17	13	23	22	23
2	23	16	16	15	17	26
2	14	10	6	5	15	14
2	41	20	20	14	23	31
2	26	15	8	16	20	24
2	14	9	16	8	1	19
2	29	20	16	24	27	16
2	15	13	11	5	2	8
2	14	16	14	12	26	21
2	22	10	15	8	19	7
2	36	17	9	19	19	16
2	13	8	9	6	3	12
2	14	12	18	8	10	24
2	24	12	15	17	20	19
2	37	12	14	9	18	23
2	35	16	16	6	17	13
2	12	6	11	18	13	14
